pd_object_id,entity_name,entity_code,udp,value,source_path
607112A9-B26C-4450-9B95-AE4ACF176A92,BUSINESS_AREA,BUSINESS_AREA,PD_ObjectID,607112A9-B26C-4450-9B95-AE4ACF176A92,
607112A9-B26C-4450-9B95-AE4ACF176A92,BUSINESS_AREA,BUSINESS_AREA,PD_SourceExtraction,46603045,
607112A9-B26C-4450-9B95-AE4ACF176A92,BUSINESS_AREA,BUSINESS_AREA,PD_SourceModel,02_logistics_segment,
607112A9-B26C-4450-9B95-AE4ACF176A92,BUSINESS_AREA,BUSINESS_AREA,MTED_EDaM_Entity_Data_Category,<unspecified>,SHL_CDM_EntityPropertyExtension.MTED_EDaM_Entity_Data_Category
607112A9-B26C-4450-9B95-AE4ACF176A92,BUSINESS_AREA,BUSINESS_AREA,MTED_EDaM_Security_Classification,<unspecified>,SHL_CDM_EntityPropertyExtension.MTED_EDaM_Security_Classification
607112A9-B26C-4450-9B95-AE4ACF176A92,BUSINESS_AREA,BUSINESS_AREA,MTED_EDaM_Entity_Maps_To_Entity,Site,SHL_CDM_EntityPropertyExtension.MTED_EDaM_Entity_Maps_To_Entity
607112A9-B26C-4450-9B95-AE4ACF176A92,BUSINESS_AREA,BUSINESS_AREA,MTED_EDaM_Design_Status,Draft,SHL_CDM_EntityPropertyExtension.MTED_EDaM_Design_Status
70BFCC9F-609E-4A95-BDEA-8EDC38F07CF7,Site,SITE,PD_ObjectID,70BFCC9F-609E-4A95-BDEA-8EDC38F07CF7,
70BFCC9F-609E-4A95-BDEA-8EDC38F07CF7,Site,SITE,PD_SourceExtraction,46603045,
70BFCC9F-609E-4A95-BDEA-8EDC38F07CF7,Site,SITE,PD_SourceModel,02_logistics_segment,
70BFCC9F-609E-4A95-BDEA-8EDC38F07CF7,Site,SITE,MTED_EDaM_Entity_Data_Category,<unspecified>,SHL_CDM_EntityPropertyExtension.MTED_EDaM_Entity_Data_Category
70BFCC9F-609E-4A95-BDEA-8EDC38F07CF7,Site,SITE,MTED_EDaM_Security_Classification,<unspecified>,SHL_CDM_EntityPropertyExtension.MTED_EDaM_Security_Classification
70BFCC9F-609E-4A95-BDEA-8EDC38F07CF7,Site,SITE,MTED_EDaM_Design_Status,Draft,SHL_CDM_EntityPropertyExtension.MTED_EDaM_Design_Status
A2ABBA5A-0035-4CE3-AF5C-CDF4CC070A03,BUSINESS_ENTITY,BUSINESS ENTITIES,PD_ObjectID,A2ABBA5A-0035-4CE3-AF5C-CDF4CC070A03,
A2ABBA5A-0035-4CE3-AF5C-CDF4CC070A03,BUSINESS_ENTITY,BUSINESS ENTITIES,PD_SourceExtraction,46603045,
A2ABBA5A-0035-4CE3-AF5C-CDF4CC070A03,BUSINESS_ENTITY,BUSINESS ENTITIES,PD_SourceModel,02_logistics_segment,
A2ABBA5A-0035-4CE3-AF5C-CDF4CC070A03,BUSINESS_ENTITY,BUSINESS ENTITIES,MTED_EDaM_Entity_Data_Category,<unspecified>,SHL_CDM_EntityPropertyExtension.MTED_EDaM_Entity_Data_Category
A2ABBA5A-0035-4CE3-AF5C-CDF4CC070A03,BUSINESS_ENTITY,BUSINESS ENTITIES,MTED_EDaM_Security_Classification,<unspecified>,SHL_CDM_EntityPropertyExtension.MTED_EDaM_Security_Classification
A2ABBA5A-0035-4CE3-AF5C-CDF4CC070A03,BUSINESS_ENTITY,BUSINESS ENTITIES,MTED_EDaM_Entity_Maps_To_Entity,"""HR Organisation""",SHL_CDM_EntityPropertyExtension.MTED_EDaM_Entity_Maps_To_Entity
A2ABBA5A-0035-4CE3-AF5C-CDF4CC070A03,BUSINESS_ENTITY,BUSINESS ENTITIES,MTED_EDaM_Design_Status,Draft,SHL_CDM_EntityPropertyExtension.MTED_EDaM_Design_Status
