pd_object_id,entity_name,entity_code,udp,value,source_path
C89651D5-480F-4D63-83F4-B05265388373,FUEL_FORM_PROPERTY,FL_FRM_PRPRTY,PD_ObjectID,C89651D5-480F-4D63-83F4-B05265388373,
C89651D5-480F-4D63-83F4-B05265388373,FUEL_FORM_PROPERTY,FL_FRM_PRPRTY,PD_SourceExtraction,46603045,
C89651D5-480F-4D63-83F4-B05265388373,FUEL_FORM_PROPERTY,FL_FRM_PRPRTY,PD_SourceModel,05_Carbon_Calculator,
C89651D5-480F-4D63-83F4-B05265388373,FUEL_FORM_PROPERTY,FL_FRM_PRPRTY,DesignStatus,Approved,BIM-core.DesignStatus
C89651D5-480F-4D63-83F4-B05265388373,FUEL_FORM_PROPERTY,FL_FRM_PRPRTY,DataCategory,Structured,BIM-core.DataCategory
C89651D5-480F-4D63-83F4-B05265388373,FUEL_FORM_PROPERTY,FL_FRM_PRPRTY,EntityCategory,Internal Reference,BIM-core.EntityCategory
C89651D5-480F-4D63-83F4-B05265388373,FUEL_FORM_PROPERTY,FL_FRM_PRPRTY,Criticality,No Critical Data,BIM-core.Criticality
C89651D5-480F-4D63-83F4-B05265388373,FUEL_FORM_PROPERTY,FL_FRM_PRPRTY,CommerciallySensitiveInformation,No Commercially Sensitive Information,BIM-core.CommerciallySensitiveInformation
C89651D5-480F-4D63-83F4-B05265388373,FUEL_FORM_PROPERTY,FL_FRM_PRPRTY,DataConfidentiality,Internal,BIM-core.DataConfidentiality
C89651D5-480F-4D63-83F4-B05265388373,FUEL_FORM_PROPERTY,FL_FRM_PRPRTY,EntityPersonalData,No Personal Data,BIM-core.EntityPersonalData
C89651D5-480F-4D63-83F4-B05265388373,FUEL_FORM_PROPERTY,FL_FRM_PRPRTY,FinancialPersonalData,No Financial Personal Data,BIM-core.FinancialPersonalData
C89651D5-480F-4D63-83F4-B05265388373,FUEL_FORM_PROPERTY,FL_FRM_PRPRTY,SensitivePersonalData,No Sensitive Personal Data,BIM-core.SensitivePersonalData
C89651D5-480F-4D63-83F4-B05265388373,FUEL_FORM_PROPERTY,FL_FRM_PRPRTY,MTED_EDaM_Mapping_Note,{\rtf1\ansi\ansicpg1252\deff0\nouicompat\deflang2057{\fonttbl{\f0\fnil\fcharset0 Times New Roman;}},BIM-core.MTED_EDaM_Mapping_Note
1A2A5A62-42CD-4956-AEE4-8F37CE811B49,DISCLAIMER,DISCLAIMER,PD_ObjectID,1A2A5A62-42CD-4956-AEE4-8F37CE811B49,
1A2A5A62-42CD-4956-AEE4-8F37CE811B49,DISCLAIMER,DISCLAIMER,PD_SourceExtraction,46603045,
1A2A5A62-42CD-4956-AEE4-8F37CE811B49,DISCLAIMER,DISCLAIMER,PD_SourceModel,05_Carbon_Calculator,
