pd_object_id,entity_name,entity_code,udp,value,source_path
8602661B-F349-4F87-B2B8-70672ED1F8CA,Sample Acquisition,SMPL_ACQSTN,PD_ObjectID,8602661B-F349-4F87-B2B8-70672ED1F8CA,
8602661B-F349-4F87-B2B8-70672ED1F8CA,Sample Acquisition,SMPL_ACQSTN,PD_SourceExtraction,46603045,
8602661B-F349-4F87-B2B8-70672ED1F8CA,Sample Acquisition,SMPL_ACQSTN,PD_SourceModel,SUBSURFACE AND WELLS,
8602661B-F349-4F87-B2B8-70672ED1F8CA,Sample Acquisition,SMPL_ACQSTN,EntityCategory,Transaction,BIM-core.EntityCategory
8602661B-F349-4F87-B2B8-70672ED1F8CA,Sample Acquisition,SMPL_ACQSTN,DataCategory,Structured,BIM-core.DataCategory
8602661B-F349-4F87-B2B8-70672ED1F8CA,Sample Acquisition,SMPL_ACQSTN,Criticality,No Critical Data,BIM-core.Criticality
8602661B-F349-4F87-B2B8-70672ED1F8CA,Sample Acquisition,SMPL_ACQSTN,CommerciallySensitiveInformation,No Commercially Sensitive Information,BIM-core.CommerciallySensitiveInformation
8602661B-F349-4F87-B2B8-70672ED1F8CA,Sample Acquisition,SMPL_ACQSTN,DataConfidentiality,Internal,BIM-core.DataConfidentiality
8602661B-F349-4F87-B2B8-70672ED1F8CA,Sample Acquisition,SMPL_ACQSTN,EntityPersonalData,No Personal Data,BIM-core.EntityPersonalData
8602661B-F349-4F87-B2B8-70672ED1F8CA,Sample Acquisition,SMPL_ACQSTN,FinancialPersonalData,No Financial Personal Data,BIM-core.FinancialPersonalData
8602661B-F349-4F87-B2B8-70672ED1F8CA,Sample Acquisition,SMPL_ACQSTN,SensitivePersonalData,No Sensitive Personal Data,BIM-core.SensitivePersonalData
8602661B-F349-4F87-B2B8-70672ED1F8CA,Sample Acquisition,SMPL_ACQSTN,DesignStatus,Approved,BIM-core.DesignStatus
8602661B-F349-4F87-B2B8-70672ED1F8CA,Sample Acquisition,SMPL_ACQSTN,DataArea,Geology/Petrophysics,BIM-core.DataArea
8602661B-F349-4F87-B2B8-70672ED1F8CA,Sample Acquisition,SMPL_ACQSTN,EnterpriseLevel,Yes,BIM-core.EnterpriseLevel
8602661B-F349-4F87-B2B8-70672ED1F8CA,Sample Acquisition,SMPL_ACQSTN,ExchangeId,{2602C8D5-49BB-4B51-88D8-C10036A80155},BIM-core.ExchangeId
EA41F0FF-C69A-471A-8E8D-813DC20F24F3,Routine Core Analysis,ROUTINE_CORE_ANLYSS,PD_ObjectID,EA41F0FF-C69A-471A-8E8D-813DC20F24F3,
